Country,Fisheries,Imports,Aquaculture,total Available,% contribution_fisheries,% contribution_import,% contribution_aquaculture,%RDI met
Angola,69447375128,10908024790,358869715,80714269632,86.04101288,13.51436969,0.444617435,18.402885
Burundi,3829590356,2131299117,294831318,6255720791,61.21741177,34.06960106,4.712987165,3.82520484
Benin,14120211930,31794278873,995400727.3,46909891530,30.10071324,67.77734468,2.121942078,26.64974608
Burkina Faso,4916713535,20197695963,77114100.82,25191523599,19.51733295,80.17655575,0.306111302,8.79273658
Botswana,5905190.293,1586300482,5390181.635,1597595854,0.369629796,99.29297689,0.337393316,4.577311508
Central African Republic,5119812607,1080314278,28861386.69,6228988271,82.19332553,17.3433346,0.463339879,9.61347888
Cote d'Ivoire,19382614542,1.17104E+11,859277458.6,1.37346E+11,14.11230221,85.26206583,0.625631963,34.9541501
Cameroon,54542243561,29985772832,516186284,85044202678,64.13399367,35.25904399,0.606962342,24.05620558
Democratic Republic of Congo,45766271255,18151546154,656723878.6,64574541287,70.87355224,28.10944653,1.017001229,5.173309766
Congo,11981429053,16968779343,131094707.3,29081303104,41.19976677,58.34944632,0.450786909,37.07191126
Comoros,3649297185,866134246.7,0,4515431431,80.81835014,19.18164986,0,39.99069339
Cape Verde,865614854.5,1534810900,935350.3284,2401361105,36.04684246,63.9142067,0.03895084,30.00873898
Djibouti,438428689.8,334372854.7,0,772801544.6,56.73237753,43.26762247,0,4.676538915
Algeria,18633864678,8936983198,856227604.9,28427075481,65.54970697,31.43827864,3.012014393,4.313084428
Egypt,66792381472,1.36794E+11,3.12556E+11,5.16142E+11,12.94069022,26.50313984,60.55616994,32.22569611
Eritrea,978163639.2,14544558.13,0,992708197.3,98.53486068,1.46513932,0,2.166764801
Ethiopia,10024688149,360390184.4,75866632.88,10460944967,95.82966148,3.445101619,0.725236899,0.640139098
Gabon,5004498302,8193168579,10154616.03,13207821498,37.89041443,62.03270222,0.076883353,40.02727338
Ghana,42733564028,74885326004,9433934525,1.27053E+11,33.63448564,58.94030791,7.425206451,28.08823104
Guinea,62624394875,5314576646,136164008.6,68075135530,91.99305207,7.806927749,0.20002018,37.63869793
Gambia,7854600746,232885947.6,3349718.422,8090836412,97.08020711,2.8783915,0.041401386,23.665385
Guinea-Bissau,1801534579,216956216,928665.2639,2019419460,89.21051889,10.74349437,0.045986744,7.292604994
Equatorial Guinea,1258138526,3159708818,2920108.748,4420767453,28.45973102,71.47421464,0.06605434,18.26588493
Kenya,18581563403,6467226530,3068204755,28116994688,66.08659143,23.00113011,10.91227846,3.847676882
Liberia,2900997085,1012165705,46386102.54,3959548893,73.2658483,25.56265202,1.171499678,5.596587608
Libya,5985287854,18697559457,1968122.059,24684815433,24.24684061,75.74518638,0.007973007,23.06475624
Lesotho,9008926.391,906879494,299674612.8,1215563033,0.741131981,74.60571515,24.65315287,3.767997052
Morocco,51170965742,15246339055,94183749.52,66511488547,76.93552928,22.92286549,0.141605235,11.72428255
Madagascar,16682729147,2246077189,164207245.3,19093013581,87.37609218,11.76386944,0.860038383,4.790518897
Mali,18774686178,16855113048,1257429810,36887229036,50.8975238,45.69362755,3.408848652,13.14917794
Mozambique,68360659508,6771234109,359206528.4,75491100145,90.55459435,8.969579322,0.475826326,18.71100275
Mauritania,5920294299,192475042.1,0,6112769341,96.8512628,3.148737199,0,10.00008166
Mauritius,3647023777,8020257145,3088480.325,11670369402,31.25028567,68.72325004,0.026464289,53.83420774
Malawi,27894783912,1579228009,1514591163,30988603084,90.01626771,5.096157464,4.887574826,11.8045205
Namibia,60607275589,2858506663,33819510.18,63499601762,95.44512707,4.501613528,0.053259405,165.8324611
Niger,6765601332,1726153727,60579515.58,8552334575,79.10823966,20.1834214,0.708338934,2.817503789
Nigeria,1.52925E+11,2.24656E+11,48050243166,4.25632E+11,35.92903486,52.78180791,11.28915724,14.68198682
Rwanda,3659195411,9670975146,602723687.2,13932894244,26.26299566,69.41109992,4.325904415,7.664387141
Sudan,7827444994,370147260.6,1876673825,10074266079,77.69742165,3.674185869,18.62839248,1.581936084
Senegal,17678371388,1713851590,90507085.72,19482730063,90.73867641,8.796773267,0.464550324,8.440494614
Sierra Leone,28178917002,931119561.8,11043652.65,29121080217,96.76466942,3.197407359,0.037923225,26.55263781
Somalia,4191764202,2222147572,0,6413911774,65.35425416,34.64574584,0,3.007007229
South Sudan,5935835818,154301477.7,3969648.258,6094106944,97.40288237,2.531978502,0.06513913,4.212534856
Sao Tome and Principe,811246796.7,9271598.638,0,820518395.3,98.87003159,1.129968407,0,27.06805333
Eswatini,87551276.78,6849494841,136404214.2,7073450332,1.237744985,96.83385787,1.928397145,5.58981137
Seychelles,42850269.6,2213954165,0,2256804435,1.898714347,98.10128565,0,116.3206601
Chad,20590945411,208080544.6,15877617.73,20814903573,98.924049,0.999670951,0.076280045,9.442174166
Togo,4648210971,14660075653,183419182.5,19491705807,23.84712255,75.211866,0.941011445,16.34512968
Tunisia,15006508945,14002197980,4286348313,33295055239,45.07128412,42.05488737,12.87382851,17.72502126
Tanzania,73975689297,188073367.5,2502093669,76665856334,96.49104939,0.245315681,3.263634934,9.421355887
Uganda,94490589616,2686960865,17766594358,1.14944E+11,82.20565715,2.337623085,15.45671977,19.74498504
South Africa,53569548298,32986262779,593293633.2,87149104711,61.46884524,37.85037481,0.680779952,9.38759916
Zambia,18071882844,7826659143,6397674339,32296216326,55.95665654,24.23398166,19.8093618,12.66782786
Zimbabwe,2200960799,936012369.6,1503975501,4640948669,47.42480376,20.16855683,32.40663941,2.195479353